CompanySize,WebsiteVisits,EmailOpens,LeadSource,Customer
128,5,4,Adwords,No
221,7,6,Tradeshow,No
229,7,3,Print,No
66,9,24,Adwords,Yes
245,6,2,Adwords,No
85,2,6,Tradeshow,No
102,2,7,Webinar,No
100,5,2,Print,No
176,3,5,Print,No
146,5,2,Tradeshow,No
231,2,7,Webinar,No
202,3,6,Webinar,No
96,6,7,Print,No
88,8,19,Adwords,Yes
180,2,2,Tradeshow,No
89,3,7,Print,No
162,2,6,Adwords,No
160,5,4,Adwords,No
240,4,6,Adwords,No
216,3,5,Tradeshow,No
56,22,16,Adwords,Yes
197,6,4,Tradeshow,No
80,14,5,Adwords,Yes
213,7,2,Tradeshow,No
222,5,7,Print,No
135,6,4,Webinar,No
130,2,3,Tradeshow,No
249,7,6,Print,No
136,7,6,Print,No
146,6,2,Webinar,No
99,4,5,Adwords,No
136,2,4,Tradeshow,No
185,6,4,Webinar,No
72,12,8,Webinar,Yes
247,4,2,Adwords,No
237,2,7,Print,No
220,5,7,Print,No
59,17,23,Print,Yes
115,3,4,Adwords,No
110,3,5,Tradeshow,No
137,6,4,Print,No
99,5,22,Adwords,Yes
127,5,7,Print,No
84,6,14,Webinar,Yes
212,4,6,Print,No
80,28,6,Print,Yes
104,7,2,Print,No
65,5,29,Adwords,Yes
214,4,2,Tradeshow,No
190,4,7,Print,No
72,9,22,Webinar,Yes
181,4,4,Adwords,No
55,12,18,Adwords,Yes
196,4,2,Tradeshow,No
121,6,3,Tradeshow,No
95,13,26,Webinar,Yes
188,5,7,Print,No
92,13,24,Adwords,Yes
141,2,5,Tradeshow,No
78,21,24,Webinar,Yes
59,24,13,Tradeshow,Yes
55,11,14,Webinar,Yes
186,2,3,Print,No
246,2,3,Tradeshow,No
90,14,6,Print,Yes
153,6,4,Print,No
135,6,6,Tradeshow,No
196,6,7,Webinar,No
130,3,3,Print,No
129,6,6,Print,No
59,20,26,Webinar,Yes
74,5,21,Adwords,Yes
181,7,7,Print,No
77,15,12,Print,Yes
80,29,27,Adwords,Yes
158,4,6,Tradeshow,No
203,2,6,Tradeshow,No
233,6,5,Print,No
147,2,6,Webinar,No
227,4,2,Print,No
221,6,6,Webinar,No
125,5,5,Adwords,No
69,17,14,Tradeshow,Yes
88,25,5,Adwords,Yes
70,14,15,Print,Yes
216,2,6,Webinar,No
195,7,7,Tradeshow,No
101,3,5,Tradeshow,No
203,6,6,Adwords,No
122,7,6,Print,No
227,2,2,Tradeshow,No
51,13,14,Webinar,Yes
80,18,28,Tradeshow,Yes
200,7,5,Tradeshow,No
121,4,3,Tradeshow,No
86,7,6,Tradeshow,No
111,6,4,Tradeshow,No
119,7,7,Tradeshow,No
112,3,4,Print,No
100,3,2,Tradeshow,No
183,7,2,Adwords,No
58,9,18,Adwords,Yes
93,12,5,Webinar,Yes
233,2,3,Tradeshow,No
108,6,5,Tradeshow,No
100,5,2,Print,No
206,2,4,Tradeshow,No
80,17,27,Tradeshow,Yes
133,4,7,Tradeshow,No
212,4,4,Print,No
187,6,4,Print,No
198,2,6,Webinar,No
159,3,5,Webinar,No
53,18,16,Print,Yes
176,6,6,Tradeshow,No
194,5,4,Tradeshow,No
155,6,3,Tradeshow,No
129,3,6,Print,No
208,7,4,Print,No
222,4,4,Webinar,No
189,2,7,Print,No
158,4,6,Print,No
93,7,3,Tradeshow,No
125,5,6,Print,No
159,7,5,Tradeshow,No
249,2,6,Print,No
83,21,14,Tradeshow,Yes
132,4,6,Print,No
241,2,6,Tradeshow,No
143,6,5,Print,No
219,3,3,Tradeshow,No
220,4,6,Print,No
202,4,7,Tradeshow,No
224,5,6,Tradeshow,No
126,2,6,Adwords,No
189,5,3,Webinar,No
161,3,4,Adwords,No
144,4,5,Tradeshow,No
112,7,3,Print,No
236,2,6,Print,No
139,6,6,Webinar,No
99,26,13,Adwords,Yes
247,5,4,Tradeshow,No
53,9,23,Print,Yes
153,3,3,Adwords,No
178,3,5,Adwords,No
230,4,7,Tradeshow,No
86,25,10,Webinar,Yes
113,7,6,Webinar,No
181,7,2,Tradeshow,No
200,7,2,Webinar,No
53,13,24,Webinar,Yes
111,2,3,Webinar,No
76,26,24,Print,Yes
239,5,7,Webinar,No
117,7,5,Adwords,No
228,7,7,Tradeshow,No
219,5,3,Tradeshow,No
187,7,6,Webinar,No
119,6,7,Print,No
121,2,4,Print,No
107,7,2,Webinar,No
134,2,2,Tradeshow,No
127,2,3,Tradeshow,No
181,7,5,Print,No
153,7,4,Adwords,No
181,3,5,Print,No
230,2,5,Print,No
91,5,2,Adwords,No
135,7,5,Tradeshow,No
192,4,4,Adwords,No
105,3,3,Adwords,No
125,3,4,Print,No
197,7,7,Print,No
93,8,14,Adwords,Yes
114,2,2,Print,No
61,26,6,Adwords,Yes
161,5,3,Adwords,No
73,12,28,Webinar,Yes
70,29,18,Adwords,Yes
244,2,4,Tradeshow,No
244,7,6,Tradeshow,No
136,5,3,Webinar,No
154,5,7,Webinar,No
215,5,3,Print,No
140,2,4,Webinar,No
92,5,20,Webinar,Yes
127,2,7,Print,No
100,2,7,Adwords,No
191,7,7,Tradeshow,No
118,5,4,Adwords,No
124,6,2,Adwords,No
150,6,6,Webinar,No
219,4,6,Print,No
221,3,2,Tradeshow,No
203,2,5,Webinar,No
55,6,17,Webinar,Yes
231,5,2,Print,No
86,24,22,Webinar,Yes
225,7,4,Adwords,No
243,6,2,Tradeshow,No
227,5,4,Print,No
82,5,10,Print,Yes
175,6,2,Tradeshow,No
99,23,5,Print,Yes
90,5,25,Tradeshow,Yes
90,28,27,Adwords,Yes
131,3,5,Tradeshow,No
163,4,5,Print,No
115,2,2,Tradeshow,No
96,25,9,Webinar,Yes
237,5,3,Adwords,No
120,6,3,Adwords,No
178,2,3,Print,No
239,2,2,Tradeshow,No
85,4,4,Adwords,No
126,3,4,Print,No
232,5,6,Tradeshow,No
80,12,9,Tradeshow,Yes
77,22,22,Adwords,Yes
163,3,3,Print,No
72,16,21,Adwords,Yes
55,7,28,Webinar,Yes
206,5,2,Adwords,No
124,7,3,Tradeshow,No
177,6,6,Webinar,No
61,24,22,Adwords,Yes
166,3,6,Adwords,No
125,3,7,Webinar,No
95,5,25,Webinar,Yes
233,7,3,Tradeshow,No
130,3,3,Adwords,No
51,28,13,Adwords,Yes
240,4,3,Tradeshow,No
192,7,4,Tradeshow,No
148,3,7,Tradeshow,No
70,9,27,Tradeshow,Yes
88,14,13,Tradeshow,Yes
188,2,2,Tradeshow,No
117,4,4,Adwords,No
90,5,7,Adwords,Yes
148,4,3,Print,No
103,2,4,Webinar,No
88,15,15,Webinar,Yes
126,2,2,Tradeshow,No
83,10,28,Adwords,Yes
233,7,3,Tradeshow,No
231,2,4,Print,No
169,5,5,Print,No
94,4,7,Print,No
200,2,6,Print,No
168,2,5,Adwords,No
137,5,6,Tradeshow,No
204,3,7,Webinar,No
137,4,2,Tradeshow,No
216,7,4,Print,No
155,2,5,Tradeshow,No
113,7,7,Webinar,No
238,4,6,Tradeshow,No
96,4,3,Tradeshow,No
120,6,5,Print,No
223,5,2,Tradeshow,No
126,6,5,Print,No
153,6,3,Tradeshow,No
242,7,7,Tradeshow,No
219,4,5,Tradeshow,No
124,7,2,Tradeshow,No
94,13,28,Tradeshow,Yes
146,2,6,Adwords,No
202,5,6,Print,No
55,19,29,Webinar,Yes
128,5,4,Webinar,No
